Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2015-03-18,62.40278244018555,0.0,0.0,,,,False,False
2015-03-19,62.302555084228516,-0.007995344634743162,-0.0015990689269486326,,,,False,False
2015-03-20,62.862064361572266,0.030464830207442617,0.0048137108999296175,,,,False,False
2015-03-23,62.5543327331543,0.03570187626177557,0.010991343972298808,,,,False,False
2015-03-24,62.57295608520508,0.040883739558964294,0.016969823089631908,,,,False,False
2015-03-25,61.29540252685547,-0.057435411966096694,0.002088776078486187,,,,False,False
2015-03-26,61.164859771728516,-0.14422521870422145,-0.02717402287805534,,,,False,False
2015-03-27,61.11821746826172,-0.21430009185304755,-0.06459923667305378,,,,False,False
2015-03-30,61.23012924194336,-0.25783245676880284,-0.1032458806922036,,,,False,False
2015-03-31,60.996986389160156,-0.3075990391126382,-0.14411651237629053,,,,False,False
2015-04-01,60.78249740600586,-0.3601947813246724,-0.18733216616596693,,,,False,False
2015-04-02,60.88508987426758,-0.38911347326678225,-0.22768842758613,,,,False,False
2015-04-06,60.80116271972656,-0.4140312701846298,-0.26495699610583,,,,False,False
2015-04-07,61.360687255859375,-0.38420101964317155,-0.2888058008132983,36.09211272567689,,,False,False
2015-04-08,62.01348114013672,-0.3043766557194232,-0.29191997179452334,45.57532905490419,,,False,False
2015-04-09,61.95749282836914,-0.24283382388917119,-0.28210274221345294,46.03829612045934,,,False,False
2015-04-10,61.864253997802734,-0.19928702390906494,-0.26553959855257536,37.17039434961742,,,False,False
2015-04-13,61.183502197265625,-0.2172030704186767,-0.2558722929257956,33.91694303092147,,,False,False
2015-04-14,61.10888671875,-0.23471684223321887,-0.25164120278728025,33.045783809524664,,,False,False
2015-04-15,61.24878692626953,-0.23460349200393438,-0.24823366063061109,49.26706444314891,62.913544356164515,60.257068360510296,False,False
2015-04-16,61.220802307128906,-0.23407353204629544,-0.24540163491374797,50.908894835940295,62.80557965310902,60.24683505026012,False,False
2015-04-17,60.16704177856445,-0.3150514855598914,-0.2593316050429767,38.35662366601635,62.779877701210125,60.05898567159261,False,False
2015-04-20,60.353538513183594,-0.3600281884221701,-0.2794709217188154,39.46204339862663,62.55321714247949,60.03479364548438,False,False
2015-04-21,60.94104766845703,-0.34429663339591343,-0.292436064054235,49.38032768596508,62.33139276369858,60.09528951779556,False,False
2015-04-22,63.42158126831055,-0.13017040843379135,-0.2599829329301463,69.46336896169107,62.62686115120409,59.88468364860059,False,False
2015-04-23,63.15114974975586,0.017502842218021897,-0.20448577790051267,66.30855782398089,62.96089024776231,59.736229274332416,False,False
2015-04-24,62.92734146118164,0.11514814273169094,-0.14055899377407197,64.99984121883651,63.19297386339262,59.68039382764742,False,False
2015-04-27,62.57295608520508,0.1620685830251105,-0.08003347841423547,58.80727908844555,63.329514181993936,59.689327370740436,False,False
2015-04-28,62.2652473449707,0.17243611015339866,-0.02953956070070865,51.92566808565268,63.40652426486509,59.715829098172016,False,False
2015-04-29,62.796775817871094,0.22099486445788585,0.020567324331010255,55.984061577795,63.55526942477484,59.74706288113337,False,False
2015-04-30,61.59382629394531,0.1605592271529872,0.04856570489540564,48.33528944045004,63.55197784267924,59.83148735202291,False,False
2015-05-01,61.33269119262695,0.09054834394964217,0.05696223270625295,50.96841418184862,63.54401945820534,59.88420586833274,False,False
2015-05-04,61.15552520751953,0.020531723323642836,0.04967613082973093,50.29876174911247,63.53112412139312,59.93253745392427,False,False
2015-05-05,61.50989532470703,-0.006289741873487742,0.0384829562890872,51.62790498560172,63.53333473073755,59.9452476514646,False,False
2015-05-06,61.23945236206055,-0.04880582995274807,0.021025199040720144,50.11286337783076,63.50310353808098,59.898075966313556,False,False
2015-05-07,62.08806610107422,-0.013864280692352793,0.014047303094105557,61.921344244986656,63.51448940654595,59.89974742511909,False,False
2015-05-08,64.7831039428711,0.22865834819565833,0.056969512114416115,70.96216432454759,64.12542639226965,59.580695433902235,False,True
2015-05-11,64.36344909667969,0.38258642186534075,0.12209289406460105,66.45738801458114,64.51995945570017,59.5041570604131,False,True
2015-05-12,64.05572509765625,0.4742775973611941,0.19252983472391969,53.854998068292026,64.78727153817783,59.53152881582607,False,True
2015-05-13,64.13042449951172,0.5466694666599636,0.2633577611111285,56.098190195518555,65.03507658186875,59.57188752945937,False,True
2015-05-14,65.39154815673828,0.6977593486909228,0.3502380786270874,63.58956536666416,65.51856805576588,59.50547064052318,False,True
2015-05-15,64.98986053466797,0.7761394818697909,0.4354183592756281,63.259525711982434,65.74137009961336,59.76495047228604,False,False
2015-05-18,65.39154815673828,0.8607469807720136,0.5204840835749052,66.97633375107456,65.99093871627016,60.01918281998472,False,False
2015-05-19,65.54103088378906,0.9291503728872286,0.6022173414373699,65.54682178262328,66.25992080950796,60.21019904828014,False,False
2015-05-20,65.18602752685547,0.9438348097703937,0.6705408351039747,72.5136515344229,66.47145771097792,60.17510677266467,False,False
2015-05-21,64.80303955078125,0.9140320108351006,0.7192390702502,71.4227448719742,66.6210023929907,60.190751070754416,False,False
2015-05-22,65.03657531738281,0.898895554180676,0.7551703670362951,73.79245671309505,66.79795067274179,60.22472617662345,False,False
2015-05-26,64.02766418457031,0.796309743595387,0.7633982423481136,64.28830590342062,66.84755171038687,60.32059594891489,False,False
2015-05-27,64.91513061523438,0.7776565332627854,0.766249900531048,69.4942083270447,66.96975047459925,60.46338551172888,False,False
2015-05-28,64.98050689697266,0.7593952139298992,0.7648789632108183,66.73018333045022,67.09549691774436,60.556012176493915,False,False
2015-05-29,64.15843963623047,0.6708558208442881,0.7460743347375123,45.38748588799179,67.05181418644753,60.856156242019274,False,False
2015-06-01,64.56016540527344,0.6258887699932458,0.722037221788659,51.456407197534546,66.96451496636324,61.2662028833682,False,False
2015-06-02,64.49473571777344,0.5783060767909376,0.6932909927891148,53.37120386579395,66.76954250481089,61.79509639594596,False,False
2015-06-03,64.41065979003906,0.527728894698754,0.6601785731710427,52.14885867295063,66.54466663938379,62.310048707906255,False,False
2015-06-04,63.719425201416016,0.4269476720902219,0.6135323929548786,35.950133755744645,66.0954555633979,63.00725706782768,False,False
2015-06-05,63.868865966796875,0.35504372486788327,0.5618346593374796,40.163996979531504,65.72275083787707,63.558041779920785,False,False
2015-06-08,63.22429275512695,0.24324369548789804,0.49811646656756325,31.761134500047845,65.81297757664565,63.31193392237777,False,False
2015-06-09,63.47651290893555,0.17299919818076148,0.43309301289020297,32.921066566692616,65.85805461111492,63.178163269134096,False,False
2015-06-10,65.0458984375,0.24118598236201194,0.3947116067845648,49.034714944759024,65.90879926829585,63.22643594593755,False,False
2015-06-11,65.05525207519531,0.2926062774499485,0.3742905409176416,51.831662980217295,65.95534546999069,63.27237250181107,False,False
2015-06-12,64.76566314697266,0.3064571778748757,0.3607238683090884,48.04842204075621,65.87600493750426,63.28912453332095,False,False
2015-06-15,64.05572509765625,0.2571833987423844,0.34001577439574765,50.21124236701724,65.83482359074986,63.23689233637415,False,False
2015-06-16,64.46675109863281,0.24843612002710813,0.32169984352201975,46.36376460805132,65.72459419395996,63.254642027353505,False,False
2015-06-17,64.2238540649414,0.21937525657934032,0.30123492613348385,44.03548781309238,65.55911936746733,63.288399171961366,False,False
2015-06-18,64.92448425292969,0.24999749814405448,0.290987440535598,56.15641098904064,65.5146657528001,63.306698459236046,False,False
2015-06-19,64.16780090332031,0.21077810398068664,0.27494557322461577,47.01690966969531,65.47187127246167,63.28596907482835,False,False
2015-06-22,64.54146575927734,0.20745665143353165,0.26144778886639897,50.339375416254335,65.40605313304206,63.30227625843742,False,False
2015-06-23,64.84973907470703,0.2270817989430185,0.25457459088172285,53.08823229542628,65.45763225210689,63.332904628386274,False,False
2015-06-24,64.32662200927734,0.19813966372167613,0.24328760544971353,54.37411753972411,65.39980001395165,63.33188600594582,False,False
2015-06-25,64.1024169921875,0.15532089927930315,0.22569426421563146,51.66452248562601,65.31994686167168,63.323930167747264,False,False
2015-06-26,64.2238540649414,0.12969068337713452,0.2064935480479321,57.69790986686441,65.32138855434323,63.3290299179468,False,False
2015-06-29,62.32748794555664,-0.04314499596581811,0.15656583924518208,42.93912849421834,65.54341242346158,62.88373830285679,False,False
2015-06-30,62.72918701171875,-0.14602151443564537,0.0960483685090166,33.37816460026822,65.60275776107966,62.647838094633244,False,False
2015-07-01,63.38310241699219,-0.17279452062882683,0.04227979068144792,39.01843755292316,65.58077072972655,62.56706938868165,False,False
2015-07-02,63.7474250793457,-0.1627385778217274,0.0012761169808128484,43.37789500791155,65.5808353975292,62.56980470867197,False,False
