Ticker,Current Price ($),Target Price ($),Potential Upside (%),Trades Closed,Average Return per Trade (%),Total Return (%),In Trade,Date
AXP,260.81,314.84,20.72,1,46.29,29.16,True,2025-03-14
AXP,264.38,315.54,19.35,1,46.29,30.93,True,2025-03-18
