Ticker,Current Price ($),Target Price ($),Potential Upside (%),Trades Closed,Average Return per Trade (%),Total Return (%),In Trade,Date
GS,530.83,642.38,21.02,0,0,-3.71,True,2025-03-14
GS,551.34,642.38,16.51,0,0,0.02,True,2025-03-18
