Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2015-03-18,293.21258544921875,0.0,0.0,,,,False,False
2015-03-19,287.150634765625,-0.48357441350606223,-0.09671488270121245,,,,False,False
2015-03-20,293.895751953125,-0.3188604101161445,-0.14114398818419888,,,,False,False
2015-03-23,290.55023193359375,-0.4530563302704991,-0.2035264566014589,,,,False,False
2015-03-24,286.4908752441406,-0.8768558745042583,-0.3381923401820188,,,,False,False
2015-03-25,282.47021484375,-1.5196363371173902,-0.5744811395690932,,,,False,False
2015-03-26,281.09625244140625,-2.115525309014174,-0.8826899734581095,,,,False,False
2015-03-27,280.69268798828125,-2.5904745133533424,-1.224246881437156,,,,False,False
2015-03-30,285.7146911621094,-2.532448998460609,-1.4858873048418468,,,,False,False
2015-03-31,283.9605712890625,-2.5980573855147213,-1.7083213209764219,,,,False,False
2015-04-01,281.42236328125,-2.8223306080690804,-1.9311231783949538,,,,False,False
2015-04-02,284.39508056640625,-2.728740094638283,-2.09064656164362,,,,False,False
2015-04-06,284.8453063964844,-2.588401989754459,-2.190197647265788,,,,False,False
2015-04-07,286.1182861328125,-2.3474047834318412,-2.2216390744989987,41.13664300725644,,,False,False
2015-04-08,286.9642333984375,-2.0643552839732706,-2.1901823163938534,42.35513491070175,,,False,False
2015-04-09,288.3770446777344,-1.7063645452060427,-2.0934187621562916,51.69313217022747,,,False,False
2015-04-10,286.7624206542969,-1.5352436372699572,-1.9817837371790248,38.526715286619826,,,False,False
2015-04-13,286.94879150390625,-1.3688117055874613,-1.8591893308607121,43.5521729153235,,,False,False
2015-04-14,290.0302734375,-0.9770011010983808,-1.6827516849082458,56.566680293108156,,,False,False
2015-04-15,292.3587646484375,-0.4731444784626433,-1.4408302436191254,69.57546656871725,294.43388868898677,278.9118174877711,False,False
2015-04-16,288.88140869140625,-0.35038897321533113,-1.2227419895383664,64.22679078524408,293.6715064473301,279.24108205364644,False,False
2015-04-17,283.6188049316406,-0.6700288177668199,-1.1121993551840572,54.54084788256678,293.5955422328807,278.9638632846975,False,False
2015-04-20,286.9642333984375,-0.6459514528388581,-1.0189497747150174,52.04552153430352,292.3286719688104,279.53758169329893,False,False
2015-04-21,285.2644958496094,-0.7553177497067054,-0.966223369713355,52.13835363735821,291.6867378274442,279.6509422262668,False,False
2015-04-22,286.8091125488281,-0.7091786986005104,-0.9148144354907861,59.13150992493573,291.7134745809985,279.65602920318116,False,False
2015-04-23,288.6874694824219,-0.5151076217081254,-0.8348730727342539,57.556748276732804,291.9673280114756,280.0239012365713,False,False
2015-04-24,289.5024719238281,-0.2921730205924291,-0.726333062305889,58.0949673137435,292.112693578219,280.7191576180701,False,False
2015-04-27,288.65643310546875,-0.1816698283556093,-0.6174004155158331,54.478208242875354,291.90788405701886,281.7203416509889,False,False
2015-04-28,293.28240966796875,0.27600082956047345,-0.43872016650057183,59.83560607788141,293.01464373624947,281.3703538223443,False,False
2015-04-29,284.6046447753906,-0.060813955007915865,-0.3631389242020407,45.21072737557438,292.9782991874561,281.4711057197705,False,False
2015-04-30,282.4856872558594,-0.4930407939912129,-0.38911929815987517,44.639097330183255,292.8215326566333,281.7342046480542,False,False
2015-05-01,286.1337890625,-0.535044688459891,-0.41830437621987837,49.05997226309231,292.7709467025996,281.9586614516973,False,False
2015-05-04,287.39892578125,-0.46093375996997565,-0.42683025296989785,46.832263999553255,292.76710237930894,282.2178677134645,False,False
2015-05-05,284.12347412109375,-0.6589064269494429,-0.4732454877658069,40.30698231755414,292.84908583144306,281.93640306015845,False,False
2015-05-06,282.0665283203125,-0.9705911566743453,-0.5727146215475145,41.70133887494072,293.10208762306723,281.1936307607219,False,False
2015-05-07,283.8362121582031,-1.062556366323065,-0.6706829705026247,50.28935777521076,293.0221741556905,280.8194609761454,False,False
2015-05-08,287.2203369140625,-0.8525413065625003,-0.7070546377145999,50.34050979087376,293.04600390679593,280.84142285101655,False,False
2015-05-11,285.4662780761719,-0.8182089441708627,-0.7292854990058525,50.26789838337183,293.0075310969347,280.7316443181044,False,False
2015-05-12,283.44036865234375,-0.9435970593640377,-0.7721478110774895,45.583887612706135,292.67114243047894,280.4090425060445,False,False
2015-05-13,283.4094543457031,-1.0335484668472077,-0.8244279422314332,42.728818347846264,291.7213290780997,280.46392482815025,False,False
2015-05-14,288.3303527832031,-0.6996945834868029,-0.7994812704825072,48.54935618427195,291.641449066422,280.48869924900765,False,False
2015-05-15,287.84912109375,-0.4685432759272885,-0.7332936715714634,48.991746145965465,291.7827512599124,280.77042867172827,False,False
2015-05-18,287.7404479980469,-0.29077137848315715,-0.6447892129538022,42.1983435995563,291.85282379640046,280.77797759520115,False,False
2015-05-19,288.0276794433594,-0.12526471814180695,-0.5408843139914032,56.30920185216017,292.0183977491651,280.88872200181146,False,False
2015-05-20,287.3833923339844,-0.04556286229012585,-0.44182002365114775,59.54619753362535,292.06074617958444,280.90380154990777,False,False
2015-05-21,285.8077697753906,-0.10828984186917978,-0.37511398729475415,49.30870029443168,291.82500706308605,280.85157069570306,False,False
2015-05-22,285.6990966796875,-0.16486991792748995,-0.3330651734213013,46.209749857100086,291.4330060582271,280.8632341761479,False,False
2015-05-26,283.331787109375,-0.3961653857709848,-0.345685215891238,48.16019925619343,291.17120370213064,280.59257193263494,False,False
2015-05-27,286.16485595703125,-0.34686528428812835,-0.3459212295706161,59.192502197263615,289.5173023846948,281.5347178789771,False,False
2015-05-28,286.8091125488281,-0.25289327968624775,-0.32731563959374244,57.02273435066957,289.64212180654374,281.63034523447186,False,False
2015-05-29,283.9138488769531,-0.40734771965276195,-0.34332205560554635,42.0045841161703,289.52347025199145,281.89181295113355,False,False
2015-06-01,282.7418212890625,-0.61721197199779,-0.3981000388839951,43.22118195554949,289.5695460167588,281.5065404090224,False,False
2015-06-02,282.0665283203125,-0.8284713014334102,-0.48417429139387813,46.33539988408213,289.4859003731605,281.056946306527,False,False
2015-06-03,283.2696533203125,-0.8885708182112921,-0.565053596757361,49.64904028107422,289.5089554730309,280.9485091265785,False,False
