Ticker,Current Price ($),Target Price ($),Potential Upside (%),Trades Closed,Average Return per Trade (%),Total Return (%),In Trade,Date
NKE,72.38,85.95,18.76,2,4.35,8.5,False,2025-03-14
NKE,73.7,86.04,16.74,2,4.35,8.5,False,2025-03-18
