Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2020-08-27,21.219999313354492,0.0,0.0,,,,False,False
2020-08-28,22.790000915527344,0.12524229305082457,0.025048458610164914,,,,False,False
2020-08-31,20.5,0.0392611984126674,0.027891006570665414,,,,False,False
2020-09-01,21.610000610351562,0.059996729098426016,0.03431215107621753,,,,False,False
2020-09-02,21.09000015258789,0.03407727384146497,0.03426517562926702,,,,False,False
2020-09-03,20.030000686645508,-0.07117669862980947,0.013176800777451723,,,,False,False
2020-09-04,19.030000686645508,-0.23260158647904206,-0.035978876673847034,,,,False,False
2020-09-08,17.729999542236328,-0.460127141624568,-0.12080852966399125,,,,False,False
2020-09-09,18.06999969482422,-0.6060217707586446,-0.2178511778829219,,,,False,False
2020-09-10,19.280000686645508,-0.6168961529747108,-0.29766017290127966,,,,False,False
2020-09-11,19.100000381469727,-0.6327448112152858,-0.3646771005640809,,,,False,False
2020-09-14,20.479999542236328,-0.5278656809299065,-0.39731481663724605,,,,False,False
2020-09-15,21.1200008392334,-0.38862562432558434,-0.3955769781749138,,,,False,False
2020-09-16,19.920000076293945,-0.3708321864304729,-0.39062801982602563,45.289860180357685,,,False,False
2020-09-17,19.239999771118164,-0.4069104895018185,-0.3938845137611842,43.16298839231403,,,False,False
2020-09-18,18.899999618530273,-0.4576623289863626,-0.40664007680621994,35.32075616192101,,,False,False
2020-09-21,18.149999618530273,-0.5520387009017611,-0.4357198016253282,39.96584365122736,,,False,False
2020-09-22,19.309999465942383,-0.5271536631399023,-0.45400657392824306,40.221086932087545,,,False,False
2020-09-23,18.40999984741211,-0.5734442308942498,-0.47789410532144444,38.96211038800866,,,False,False
2020-09-24,17.450000762939453,-0.6797579162905585,-0.5182668675152673,39.285717114600416,22.518491646774862,16.824508574477576,False,False
2020-09-25,17.93000030517578,-0.7170150235162112,-0.5580164987154561,45.22569376894827,22.35745648381947,16.6565438366151,False,False
2020-09-28,19.059999465942383,-0.6478915702157124,-0.5759915130155074,55.859030303987666,21.718758274587206,16.922241900888867,False,False
2020-09-29,18.780000686645508,-0.6086877237251507,-0.5825307551574361,53.14438022229652,21.577386364963512,16.89161387917711,False,False
2020-09-30,20.06999969482422,-0.4681299433581714,-0.5596505927975832,53.474051077031575,21.260619442436724,17.054380710151168,False,False
2020-10-01,18.670000076293945,-0.4643523933424909,-0.5405909529065648,48.292293763892296,20.94051562199689,17.132484522961608,False,False
2020-10-02,18.190000534057617,-0.4943915709918798,-0.5313510765236278,40.20530517178788,20.824046215608302,17.064953914091408,False,False
2020-10-05,20.040000915527344,-0.3647140692496045,-0.49802367506882317,45.81395242242966,20.937440319381423,17.052559833206466,False,False
2020-10-06,19.700000762939453,-0.28608112057819923,-0.45563516417069844,49.086381224331376,20.96432074769818,17.22267952696002,False,False
