Ticker,Current Price ($),Target Price ($),Potential Upside (%),Trades Closed,Average Return per Trade (%),Total Return (%),In Trade,Date
META,597.58,765.85,28.16,1,27.88,27.79,True,2025-03-14
META,604.9,765.33,26.52,1,27.88,29.47,True,2025-03-18
