Ticker,Current Price ($),Target Price ($),Potential Upside (%),Trades Closed,Average Return per Trade (%),Total Return (%),In Trade,Date
C,67.79,91.03,34.27,2,20.76,36.46,True,2025-03-14
C,69.94,91.03,30.15,2,18.19,34.56,True,2025-03-18
