Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2015-03-18,18.756999969482422,0.0,0.0,,,,False,False
2015-03-19,18.66200065612793,-0.007578292803209763,-0.0015156585606419526,,,,False,False
2015-03-20,18.92449951171875,0.007510740264809357,0.0002896212044483093,,,,False,False
2015-03-23,18.75550079345703,0.005765660553464613,0.0013848290742515704,,,,False,False
2015-03-24,18.704500198364258,0.0002643037858511832,0.001160724016571493,,,,False,False
2015-03-25,18.54800033569336,-0.016533207556090446,-0.002378062297960895,,,,False,False
2015-03-26,18.36750030517578,-0.04390410112675269,-0.010683270063719254,,,,False,False
2015-03-27,18.527999877929688,-0.05204481705357722,-0.018955579461690845,,,,False,False
2015-03-30,18.72949981689453,-0.0417556983089824,-0.02351560323114916,,,,False,False
2015-03-31,18.604999542236328,-0.0431502203671883,-0.02744252665835699,,,,False,False
2015-04-01,18.51300048828125,-0.051090010097325944,-0.03217202334615078,,,,False,False
2015-04-02,18.612499237060547,-0.048791198614644316,-0.03549585839984949,,,,False,False
2015-04-06,18.851999282836914,-0.02732869367466151,-0.0338624254548119,,,,False,False
2015-04-07,18.720500946044922,-0.020691798509368198,-0.03122830006572316,49.07055902455325,,,False,False
2015-04-08,19.059999465942383,0.011826355113488063,-0.022617369029880915,56.57838833026483,,,False,False
2015-04-09,19.177000045776367,0.046502147310587105,-0.008793465761787312,61.07528840016867,,,False,False
2015-04-10,19.13249969482422,0.06958996622312341,0.006883220635194833,54.93594478723096,,,False,False
2015-04-13,19.118000030517578,0.0857289968085091,0.022652375869857688,59.28297205154005,,,False,False
2015-04-14,19.25550079345703,0.10836528964625813,0.03979495862513778,63.511568060870644,,,False,False
2015-04-15,19.172500610351562,0.11824424760877505,0.055484816421865236,65.88658167117262,19.334370680751775,18.28512947946551,False,False
2015-04-16,19.302000045776367,0.13496709843826338,0.07138127282514486,74.40590108862094,19.40491471424096,18.26908545360572,False,False
2015-04-17,18.777999877929688,0.1047303773119097,0.07805109372249784,55.487279017621645,19.40553524747359,18.280064842553262,False,False
2015-04-20,19.475500106811523,0.13548817386375234,0.08953850975074874,63.446309853111956,19.499909870175212,18.24079027936092,False,False
2015-04-21,19.55900001525879,0.16470309919943915,0.10457142764048682,67.453382251233,19.608101159471097,18.21294891224521,False,False
2015-04-22,19.489999771118164,0.18021103434068309,0.11969934898052609,68.02583580315297,19.685921198071377,18.213678830920323,False,False
2015-04-23,19.499500274658203,0.1910653139008005,0.13397254196458097,66.9275076184777,19.747022391393706,18.247727631494477,False,False
2015-04-24,22.2549991607666,0.41720387354315136,0.19061880828029504,83.12890726255986,20.789716013925236,17.593783894522026,False,True
2015-04-27,21.92799949645996,0.563538055329154,0.26520265769006685,80.0806442092113,21.34045771555473,17.383042154745564,False,True
2015-04-28,21.465499877929688,0.634870700488662,0.3391362662497859,72.05060339633582,21.662821546515385,17.334278329888424,False,True
2015-04-29,21.4685001373291,0.6837624437367893,0.4080615017471866,71.45398505692938,21.932283611290764,17.35116632462232,False,True
2015-04-30,21.089000701904297,0.684002316746458,0.4632496647470409,67.23637886325966,22.083437428895742,17.45761252837965,False,True
2015-05-01,21.14349937438965,0.680742825693077,0.5067482969362481,67.71936018784163,22.220147633194834,17.574002337813468,False,True
2015-05-04,21.152000427246094,0.6711094870535526,0.5396205349597091,66.97395707789934,22.345011767900004,17.679138317549217,False,False
2015-05-05,21.059499740600586,0.6485350559989769,0.5614034391675626,66.86025327932131,22.423536028171462,17.834513936733323,False,False
2015-05-06,20.954999923706055,0.6151216553236161,0.5721470823987733,64.83575777661524,22.488728922463775,17.95882108821738,False,False
2015-05-07,21.3439998626709,0.612964465819335,0.5803105590828856,73.60191773487217,22.593561366770423,18.070688625600184,False,False
2015-05-08,21.684499740600586,0.6314513934691277,0.5905387259601341,71.74640930909572,22.724146851047635,18.19530314590061,False,False
2015-05-11,21.642499923706055,0.6353890135738816,0.5995087834828836,70.67990609973117,22.816654658718328,18.355245327548765,False,False
